title,description
"Senior Software Engineer(DOT NET, Angular)","Create and maintain the required documentation Proficient in writing testable and reusable code and developing scalable applications Proficient working with Git,Azure DevOps,CI / CD and other development process tooling Experience with microservice architectural patterns and working in a containerized. environment with Docker and Kubernetes"
Sr Software Developer BMW Autosar Core development,"Job Description: At BMW TechWorks India, a joint venture between the BMW Group and Tata Technologies, we engineer in India for the world. With our offices in Pune, Bengaluru and Chennai we are a key building block in delivering software and IT solutions for whole BMW. Starting from contributions to the software defined vehicle (SDV), digital infotainment to automotive digital services. In our project we develop uncompromising software solutions for all Classic Autosar ECUs in the BMW system. We provide a standardized system function implementation on a reference Autosar Stack that allows easy ECU integration and offers reliable robustness and testability. For this endeavor, we need a team of highly motivated engineers to define and implement a fluent release pipeline to enable all our Tier1 suppliers to build upon our reference stack. What awaits you You will contribute to the requirements and architecture of your product You will ensure high quality code in C/C++ that runs in every new BMW You will be responsible for a reliable and performant delivery chain You will contribute to the overall software product lifecycle Required Skills: University degree in Computer Science (or comparable qualification) Fluent business English Expert knowledge in (embedded) C and/or Python programming language Good knowledge of the Autosar Standard and Auosar Tools (e. g. Vector Microsar) Experience in embedded software development and embedded debugging Knowledge of integration processes and integration tools (e. g. Bazel, cmake) Experience in testmethods, testframeworks and testmanagement Experience in automotive domail Expertise in automotive processes: work products and artifacts (ASPICE) Experience in sprint-based development and testing"
Senior Software Developer,Bachelor s Degree in Computer Science or Qualifications / Professional Training (minimum qualifications required to perform the Job) Should have sound knowledge and hands on using application composer. Should have hands on experience in development Should have hands on experience on ICS and required for the Job) . Proficiency in Object
Data Analyst,". Education: Bachelor s degree in Business Administration,Data Science,Computer Science,Statistics,Management Information Systems,Finance,or a related field Skills. Proficient in analyzing and presenting to various levels of stakeholders. Ability to perform functional requirements analysis and business domain analysis. Ability to identify patterns,correlations,and trends."
Senior Python Developer,"Experience designing and maintaining ETL / ELT pipelines (batch & streaming) Build and manage ETL / ELT pipelines for batch and streaming data workflows across AWS and Snowflake Strong Python development experience (OOP,exception handling,modular design,multithreading)"
Python Software Developer,"Dear Candidate, We are hiring for Senior Python Backend Developer for Pune Exp: 5+ years Location: Pune/Remote Notice Period: Immediate to 30 days Must have • Experience with Distributed Applications • Experience in working with Machine Learning models. • Good understanding of data structures and clean code • Able to understand and apply design patterns • You are interested in DevOps philosophy • 5+ years of experience in software development is preferred • Experience with Flask, FastAPI • Willing to learn on the job • Experience with relational and non-relational databases • Frontend development experience, preferably in React • Empathetic and able to easily build relationships • Good verbal and written communication skills Nice to have Experience working with Microservices Experience with TDD approach Experience in e-commerce domain If you find above profile relevant to your job needs and fullfill your demand then pls share your cv to proceed ahead. Please share below details: Rel Exp in Microservices: Rel Exp in AWS: Rel Exp in Python: Rel Exp in C#, . Net: Current Company: Current Location: Preferred Location: Current CTC: Expected CTC: (Pls mention if holding any offer) Notice Period: (Pls mention your LWD if already serving notice period) Regards, Ankita Soni Ankita.soni@intellias.com"
Senior Software Engineer - Mainframe Assembler,"Primary skills: Mainframe Assembler,HLASM,IBM ZOS HLASM,Assembler programming . . Job Overview: . We are seeking a skilled Mainframe Developer with a strong background in security practices and proficiency in Assembler programming to join our team Minimum 9+ years of software engineering experience with Bachelors degree in Computer Science,Information Technology,or a related field"
Senior Java Developer,". 6+ years of Backend development experience in high-traffic systems Experience with Prometheus,Grafana and Kibana for observability Experience in the e-commerce domain Good English verbal and written communication skills."
Sr. Full Stack Developer (.Net core + MERN) - 5-8 yrs,"Experience: Minimum 5 years of experience Must Have. T-SQL (Transact-SQL): Strong expertise in writing complex queries,stored procedures,views,and performance tuning Monitor and optimize application performance and availability,applying corrective measures as required"
Software Engineer II - Peoplesoft,"The ideal candidate should be capable of handling end-to-end technical design and development,collaborating with functional teams,and ensuring smooth delivery of Peoplesoft projects Experience with Peoplesoft Fluid UI and responsive design preferred Work Timing - Must be flexible to work in US business hours Experience with Peoplesoft upgrades,PUM images,and tools upgrades"
Frontend Developer | Forex CFD Domain,"Education : . BE / B Tech / BCA/MCA Experience : . Min 3 Years of Experience Experience with TypeScript,React,Python,SQL,API integration Responsive design experience across tablets and smartphones Experience in working on regulated CRM / Forex Broker projects or platforms"
Senior Software Engineer,"Experience : 5+ years Salary : Confidential (based on experience) Shift : (GMT+05:30) Asia/Kolkata (IST) Opportunity Type : Hybrid (Pune) Placement Type : Full time Permanent Position (*Note: This is a requirement for one of Uplers' client- Perforce Software) Required skills: Python, Backend Job Description:- Perforce is searching for a Senior Software Engineer to join their team. In this position The Senior Software Engineer will be working with a geo-distributed team to help build out new products in a modern tech stack. They will be responsible for designing, developing, implementing, testing and supporting our software products and solutions. This position will focus on our Puppet product. The successful candidate should have a demonstrated track record in delivering high-quality software in a fast-paced agile environment. As part of the Perforce team, the Senior Software Engineer will be given a high degree of ownership and responsibility for the overall quality and operation of every piece of software shipped. Responsibilities: Deliver customer value by independently designing multiple features, tests, and large parts of a single product within a team. Deliver multiple releases on time based on the agreed upon roadmap. Ensure timely shipment of enterprise-quality products over a range of platforms. Influence the direction, work, and commitments of more junior engineers on the team. Contribute extensively to Open Source and commercial product. Drive initiatives to support continuous improvement of process, quality metrics, communication and tooling Mentor other engineers in best practices Continuously review and make recommendations to improve processes, tools and implementation Requirements: BS/MS in Computer Science or equivalent experience 6+ years of professional software development experience Strong expertise in Python development Deep understanding of containerization: Docker & Kubernetes Proven experience with GraphQL APIs Strong problem-solving and analytical skills, with the ability to quickly understand and address complex technical challenges. Excellent communication and collaboration skills, with the ability to effectively work within a cross-functional team Solid understanding of modern cloud applications and concepts, such as fault tolerance, scalability, and consistency. Preferred (Nice-to-Have) Experience with Java or Ruby or Go Hands-on with PostgreSQL, especially in production environments Experience in DevOps practices and CI/CD tooling Broad knowledge of full-stack development."
"Senior .Net Full Stack Developer (.Net + Angular)
","Must have: MS SQL Server 2014 / 16,Web API 0,Entity Framework 5 / 6,Boot Strap 0,Multi-threading,Tasks,OOP,Design Patterns,SOLID principles,LINQ Prior experience in product development will be preferred Good to have,CSS,HTML,windows services,MongoDB"
Bulk Hiring Frontend Developer & Backend Developer Fullstack Developer,Designing and developing user interfaces using HTML CSS JavaScript. Building responsive and interactive web applications Ensuring cross-browser compatibility and mobile responsiveness Collaborating with UX/UI designers to implement design concepts.
Telephony Software Engineer ( SIP / Freeswitch / Kamailio ),"Required Skills & Experience Preferred Skills Strong hands-on experience with: o SIP (Session Initiation Protocol) signaling,troubleshooting,debugging Experience working in high-availability,carrier-grade environments. . ."
Senior DevOps Engineer,"Required Skills & Experience: . 7+ years of proven experience with CI / CD tools (e.g.,Jenkins,GitLab CI,GitHub Actions) Preferred Qualifications: . Certifications in AWS,Kubernetes,or DevOps practices Hands-on experience with Docker and Kubernetes in production environments Experience with monitoring and logging tools (e.g.,Prometheus,Grafana,ELK,Datadog)"
InP - Software Engineer Principal(SRE/Devops/Cloud-Azure/Terreform),"Are you curious, motivated, and forward-thinking? At FIS youll have the opportunity to work on some of the most challenging and relevant issues in financial services and technology. Our talented people empower us, and we believe in being part of a team that is open, collaborative, entrepreneurial, passionate and above all fun. Pune (Two days in-office, Three days virtual) What you will be doing: Site Reliability Engineer will play a critical role in driving innovation and growth for the Banking Solutions, Payments and Capital Markets business. In this role, the candidate will have the opportunity to make a lasting impact on the company's transformation journey, drive customer-centric innovation and automation, and position the organization as a leader in the competitive banking, payments and investment landscape. Specifically, the Site Reliability Engineer will be responsible for the following: Design and maintain monitoring solutions for infrastructure, application performance, and user experience. Implement automation tools to streamline tasks, scale infrastructure, and ensure seamless deployments. Ensure application reliability, availability, and performance, minimizing downtime and optimizing response times. Lead incident response, including identification, triage, resolution, and post-incident analysis. Conduct capacity planning, performance tuning, and resource optimization. Collaborate with security teams to implement best practices and ensure compliance. Manage deployment pipelines and configuration management for consistent and reliable app deployments. Develop and test disaster recovery plans and backup strategies. Collaborate with development, QA, DevOps, and product teams to align on reliability goals and incident response processes. Participate in on-call rotations and provide 24/7 support for critical incidents. What you bring: Proficiency in development technologies, architectures, and platforms (web, API). Experience with cloud platforms (AWS, Azure, Google Cloud) and IaC tools. Knowledge of monitoring tools (Prometheus, Grafana, DataDog) and logging frameworks (Splunk, ELK Stack). Experience in incident management and post-mortem reviews. Strong troubleshooting skills for complex technical issues. Proficiency in scripting languages (Python, Bash) and automation tools (Terraform, Ansible). Experience with CI/CD pipelines (Jenkins, GitLab CI/CD, Azure DevOps). Ownership approach to engineering and product outcomes. Excellent interpersonal communication, negotiation, and influencing skills. What we offer you: A work environment built on collaboration, flexibility and respect Competitive salary and attractive range of benefits designed to help support your lifestyle and wellbeing. Varied and challenging work to help you grow your technical skillset"
Sr. Software Engineer,Experience with database management systems and querying languages like SQL
Remote Freelancer Senior .NET Full-stack Developer,"PradeepIT is currently seeking a talented Senior .NET Developer to join our dynamic team. The ideal candidate will have exceptional knowledge and hands-on experience with C#, .NET Core, REST APIs, Angular 12+, TypeScript, CSS/SCSS, MSSQL, Cosmos DB/Mongo (NoSQL), JavaScript, JSON, jQuery, HTML, and FetchXML. As a Senior .NET Developer, you will be responsible for designing, developing, and maintaining high-quality software solutions that meet our clients' needs. This role requires a strong background in .NET development along with proficiency in managing customer relationships and understanding their domain-specific needs and challenges. The successful candidate will play a key role in delivering high-quality software solutions tailored to Brillio's customers in a US shift schedule. Skills Required: Exceptional knowledge of C#, .Net Core Proficiency in REST APIs, Angular 12+ & above, Typescript, CSS/SCSS Strong understanding of MSSQL, Cosmos DB/Mongo (No SQL) Proficiency in JavaScript, JSON, jQuery, HTML, FetchXML Experience with Azure and/or AWS cloud platforms Familiarity with Azure DevOps Responsibilities: Develop, test, and deploy high-quality software solutions using C#, .NET Core, and other relevant technologies. Design and implement RESTful APIs to support our web and mobile applications. Collaborate with cross-functional teams to gather requirements, analyze user needs, and translate them into technical specifications. Optimize application performance and scalability by implementing best practices and utilizing cloud services such as Azure and/or AWS. Participate in code reviews, provide constructive feedback, and mentor junior developers. Troubleshoot and resolve technical issues in a timely manner. Stay up-to-date with the latest technologies and industry trends. Requirements: Bachelor's degree in Computer Science, Engineering, or related field. 5+ years of experience as a .NET Developer with a strong focus on C#, .NET Core, and related technologies. Proficiency in Angular 12+ and above, TypeScript, CSS/SCSS, MSSQL, Cosmos DB/Mongo (NoSQL). Extensive experience with JavaScript, JSON, jQuery, HTML, and FetchXML. Hands-on experience with Azure and/or AWS cloud services. Familiarity with Azure DevOps for CI/CD pipelines and version control. Strong problem-solving skills and attention to detail. Excellent communication and collaboration skills. Job Details: Timing: 2:00 pm - 11:00 pm Number of Positions: 02 Contract Duration: 12 Months This role requires a seasoned professional with a strong background in .NET development, software quality assurance, and experience in Agile methodologies. If you meet these qualifications and are eager to contribute your expertise to a dynamic team, we encourage you to apply for this position."
Java Backend Developer,"applications in backend programming language (preferably in Java,Spring Boot and Liferay) 5+ years of professional backend software engineering experience Experience in analysis,design,coding and implementation of next-generation web Experience in API based architectures (e.g Experience working on high-traffic and large-scale web products"
Full Stack Developer | Java + React,"Experience developing canvas and model-driven PowerApps with a professional UX interface . Must have skills: . Develop Software in the full technology stack where required_Experience:8+ years of relevant experience expected Previous programming experience using Java Experience developing applications with Power apps,Power Automate,Power Portals"
Udemy - Sr Data Analyst - Tableau & Databricks,"Experience in Oracle SCM Techno Functional Knowledge with a strong understanding of master data management principles Hands-on experience with Oracle WMS and MSCA is an added advantage A strong foundation in SQL,PL / SQL,and performance tuning,along with experience working with SDLC,is required. ."
Senior Software Developer,"Experience with version control systems (Git) and mobile build tools. Strong problem-solving skills and the ability to thrive in a fast-paced,collaborative environment. Experience of working with React Native is a plus. Experience of working with E-commerce Application is a plus. Previous experience in the automotive industry is a plus. Benefits: ."
Java Full Stack Developer (React),"We are seeking a highly skilled and experienced Java Full Stack Developer with strong proficiency in React.js to design,develop,and maintain scalable enterprise applications"
Data Analyst - Client Data Integration,. 3+ years of experience in data analysis with advanced SQL development skills (procedural and transactional) 3+ years of experience with Microsoft SQL Server and SSIS Experience with data
Web Developer,Disclaimer : This job description has been sourced from a public domain and may have been modified by Naukri
React Developer,"Writing clean,maintainable,and efficient code . Help maintain code quality,organization,and automatization . Building reusable components and front-end libraries for future use . Translating designs and wireframes into high-quality code . Optimizing components for maximum performance across a vast array of web-capable devices Min 1+ of relevant experience"
DevOps Engineer,". Must have sound knowledge of SDLC and be able to work in Agile methodologies . Min 1+ years hands-on experience in Cloud and Data center migration project . . Experience in managing cloud-based environments (AWS / Azure) . Experience with Chef / Puppet / Ansible is a plus . Experience with monitoring tools,scripting,and internet security"
Data Analyst,"Qualifications . Education: Bachelor s degree in Statistics,Mathematics,Computer Science,Economics,or a related field A Master s degree or relevant certifications (e.g.,Google Data Analytics,Microsoft Certified Data Analyst) is a plus Experience in [industry] is preferred Experience: 2+ years of experience in data analysis or a related field"
Data Scientist,"Bluphlux is seeking a talented and innovative Data Scientist to join our team. As a Data Scientist at Bluphlux, you will play a crucial role in leveraging data to enhance our AI-driven recruitment solutions. You will work closely with our engineering and product teams to develop and implement data models that improve the accuracy and efficiency of our recruitment processes. Key Responsibilities Develop and implement machine learning models to enhance our recruitment platform. Analyze large datasets to extract meaningful insights and improve our AI algorithms. Collaborate with cross-functional teams to integrate data-driven solutions into our products. Continuously evaluate and improve the performance of existing models and algorithms. Stay up-to-date with the latest advancements in data science and machine learning to ensure our solutions remain cutting-edge. Required Qualifications Bachelors or Masters degree in Computer Science, Data Science, Statistics, or a related field. Proven experience as a Data Scientist or similar role, with a strong portfolio of projects. Proficiency in programming languages such as Python or R. Experience with machine learning frameworks and libraries such as TensorFlow, PyTorch, or scikit-learn. Strong analytical and problem-solving skills. Preferred Skills Experience in the recruitment or HR tech industry. Familiarity with natural language processing (NLP) techniques. Knowledge of cloud platforms such as AWS or Azure. Excellent communication and teamwork skills."
Full Stack Developer (Angular and nest/Node JS),"plications for maximum speed,scalability,and user experience Required Skills valent work experience)"
Senior DevOps Engineer,"Senior DevOps Engineer will be responsible for building, managing and supporting various components and services in a high-availability environment. This role will be pivotal to improve overall operational efficiency in applications and infrastructure management. Please read the job criteria below and drop us an email at joinus@tudip.com OR create an account at our Recruitment Portal to get started. Roles & Responsibilities: Building and maintaining tools to automate application and infrastructure deployment, and to monitor operations. Coordinating with other members of the DevOps team, Development, Test, and other teams to enhance and optimize existing processes. Implementing containerized deployment and orchestration using Docker and Kubernetes. Using configuration management tools (e.g. Chef, Puppet, Ansible) to deploy, configure and manage servers in a high-scale production environment. Building, managing and automating Continuous Integration and Continuous Delivery (CI/CD) pipelines Project. Implementing security best practices to harden against all levels of security across applications, APIs, databases etc. Basic DB administration and performance optimization of databases. Must have sound knowledge of SDLC and be able to work in Agile methodologies. A working knowledge of the concepts for DevSecOps, ITIL foundations for change management and compliance. Qualification Required: Educational Qualification: BE/BTech (CSE or IT) or MCA. Min 5+ years of hands-on experience in Cloud and Data center migration project. Able to design and architect deployment process with a variety of technologies like Dot Net Core, Python, C#, MVC, ReactJS, Python, Android, IOS, Linux, Windows Deep domain expertise of cloud application development solutions (e.g. IaaS, Serverless, API Management, Android, IOS) Experience in managing cloud-based environments (AWS/Azure) Deep understanding of version control systems like Git, Github and BitBucket Experience with Chef / Puppet / Ansible is a plus Experience in managing large scale databases in Postgres, MySQL, Elasticsearch, Neo4j, Druid is a plus Experience with monitoring tools, scripting, and internet security. Cloud hosting experience (e.g., Amazon Web Services, Eucalyptus, OpenStack, CloudStack) Monitoring tools (e.g., Nagios, Cacti, Ganglia, Splunk, Sensu, BMC, OpenView) Continuous integration technologies (e.g., Puppet, Chef, Ansible, Subversion, Git,Jenkins,Spinnaker) Scalable hosting cluster experience (e.g., nginx, Varnish, GlusterFS, etc.) Strong communication skills and ability to work in a cross-functional, globally distributed team."
SDE II (Software Development Engineer in Test),"Scripting Skills: Proficiency in scripting languages such as Shell,Perl,Python,REST,or Bash . . A Bachelors or Masters degree Database Knowledge: Familiarity with database systems,preferably PostgreSQL or Oracle. Operating Systems Proficiency: Solid experience with Unix / Linux/Windows operating systems"
SDE II (Build & Release Engineer),"Collaborate with the team to upgrade and rebuild 3rd-party libraries when new versions are released. What you will bring. 4-8 years of experience in Build Engineering / DevOps . . Strong hands-on experience of Linux (RHEL,Ubuntu / Debian,SUSE) packaging RPM and DEB builds Proficiency in GitHub Actions (or similar modern CI / CD tools)"
Python Developer Lead,. Should have worked on at least one end to end Development project from scratch The candidate should have excellent problem solving and debugging skills Bachelor s degree in computer science or related disciplines preferred . Should be clear with TDD and BDD approaches . Good Knowledge of Azure and Azure Native Libraries
Senior Software Engineer,"Responsibilities Indicative years of experience: 4+ years Role Description: Log,diagnose and resolve medium and complex system problems and issues reported by business by referring to system documents . Triage system problems to appropriate technical teams"
Senior Software Engineer,Develop and execute unit tests Complete Analysis documentation as required by the project Support application testing and resolve test defects Report status updates as required by the project .
Software Engineer,". Design and maintain monitoring solutions for infrastructure,application performance,and user experience Experience with cloud platforms (AWS,Azure,Google Cloud) and IaC tools Experience in incident management and post-mortem reviews"
Senior Java Backend Developer,"Bachelor s degree in Computer Science or related technical discipline. . 4-6 years of hands on experience designing,developing and deploying scalable web applications and services. Experience building software products using Java,Spring boot,RestAPI and Microservice architecture. Experience working on various Data structures like Stack,Queue,LinkedList etc"
Senior Associate Software Developer in Test,"About the role: The role is based in the Pune R&D Centre, at SAS R&D Pune facility. We are seeking Software Development Engineers in Test for Viya 3. 5 Platform software builds, update the software bill of materials (i. e. third party dependencies) and validate security fixes, execute automated tests, verify install/migration process and performance testing. You will be joining a friendly team with a broad range of experience, to develop and maintain SAS 94/Viya 3. 5 services and products. Years of Experience: 2 to 5 years Primary Responsibilities Update to build scripts and create builds. Execute automated security tests. Validation and testing of multiple SAS Viya 3. 5 services and products. Work with developers, technical support product managers in analysis of customer report issues and resolution. Demonstrate aptitude for problem solving and debugging of complex software systems. Design, implement, and maintain automated test frameworks, tools, and scripts that address specific needs. Design and implement test plans (cases, scenarios, usage). Identify risks, issues, potential defects, or defects in any phase of the project life cycle, managing them through closure. Mandatory Technical Skills: A minimum of 2-5 years of software testing experience in all facets of software testing in a product-based software development environment. Strong Functional testing and code debugging skills. Expertise in Test Automation with Java programming language and Selenium/Playwright with Web/REST services. Knowledge of SQL language Knowledge of Database administration on Oracle / Postgres desirable. Systems knowledge including authorization, storage, networking etc in Linux Knowledge of DevOps Tools such as Ansible, Chef, Jenkins, GitHub Actions. Experience of these items would be useful: Knowledge of DevOps Tools such as Ansible, Chef, Jenkins, GitHub Actions. Knowledge of SQL language. Knowledge of Gradle/Maven, Jenkins, GitHub Actions Knowledge of Security Scans and tools such as Sync, ZAP etc Knowledge of programming/Scripting language such as Java/Shell Script, Python etc. for automating deployment process is desirable. Knowledge of performance testing concepts desirable"
Senior DevOps Engineer,"Relevant: 5+ years with in-depth experience in Python,Ansible,Jenkins,Docker,Kubernetes,Helm charts,Terraform and Octopus Deploy Demonstrable experience with system architecture and design in a DevOps context. . . Highly skilled in Docker and Kubernetes for container orchestration,proficient in Helm chart management,and expert knowledge in Octopus Deploy"
Azure Devops Engineer,"7+ years of hands-on experience as a Cloud DevOps / Platform Engineer Proficient coding and scripting capabilities in multiple languages and automation frameworks like C#,PowerShell,Java,SQL Server,NoSQL,and MySQL Experience with system observability tools for logging,tracing,and monitoring such as Grafana,Prometheus,AppDynamics,etc Minimum Qualifications"
Ai Ml Engineer,"Develop and deploy machine learning models and APIs. Collaborate with teams to ensure scalable and efficient AI solutions. •Develop and deploy ML models and APIs •Perform data preprocessing and feature engineering •Optimize model performance and collaborate with cross-functional teams •Maintain model documentation and versioning Must Have: Python programming, LangChain, SQL/NoSQL databases, ML frameworks (Scikit-learn, TensorFlow) Reinforcement Learning from Human Feedback (RLHF), distributed ML systems"
Senior Devops Engineer,"Education: Bachelors degree in Computer Science,Software Engineering,or a related field Experience Required: 26 years Proven hands-on experience as a DevOps Engineer with AWS,Azure,or Google Cloud"
Senior Devops Engineer,"CI / CD: Experience designing and managing robust CI / CD pipelines Required Qualifications Hands-on Experience: [Specify Years of Experience,e.g.,5+ years for Senior in a DevOps,Cloud Engineering,or SRE role,with a strong focus on GCP Containerization: Extensive experience with Docker and Kubernetes,with specific proficiency in GKE"
Staff Software Engineer - Data Platform,"Minimum 9+ years of relevant work experience in data platform development and management,with a strong foundation in data engineering,cloud infrastructure and platform toolings for internal teams. A confident and positive outlook with low ego Experience with Java or Python will be required . Experience with AWS will be highly preferred"
C/C++ Full stack Developer,"Location: Pune,Maharashtra (Banner Road). Notice Period: Immediate to 15 days . Work Mode: Work from office. Interview Mode: Face to Face Mandatory (For final discussion). Must Have: Should have proper documents. Must Skills: C,C++,Desktop applications (Windows & Linux),Networking protocols,Troubleshooting"
Senior Python Developer with 5+ yrs Exp,"Cloud-Native Architecture: Proven experience building cloud-native systems,leveraging managed services for scaling,reliability,and security. . Microservices: Familiarity with developing microservices architecture and ensuring modular scalability. . Security: Knowledge of security best practices for backend systems,including private networking,encryption,and secure API design."
Java Developer - Immediate joiner,"Furthermore,you will be joining a friendly team with a broad range of experience,to develop and maintain SAS 9 Solutions. . Primary Responsibilities Experience with multi-tier full stack web application and thick client application development would be an added advantage Good exposure to design and development of mid-tier services,REST APIs,Java Script framework like ReactJS"
Frontend Developer,Design and develop software feature functionality following the company software development processes and procedures.Develop and collaborate to develop frontend systems.
Data Analyst,"Data Analyst with strong SQL and data analysis experience Experience on data analysis,requirement gathering and analysis . Candidate must have functional understanding of project . Candidate must have good Datawarehouse and ETL understanding Passionate about data analytics and who can be the interface between business and the core development ETL teams"
Principal Software Engineer - Python,"The skills you ll bring include: A minimum of 10 years experience in software development using Python Experience working with Java,Spring and Databases is a plus Experience with Cloud based deployments e.g Experience with IaC e.g Experience with virtualization and containers Demonstrable experience of delivering complex solutions to customers"
Java Full stack developer ( AWS),"Responsibilities: Design and develop web applications using Java and AWS technologies. Implement front-end components using JavaScript, HTML, and CSS. Integrate and manage AWS services like EC2, S3, Lambda, and RDS. Write clean, maintainable, and efficient code. Collaborate with cross-functional teams to define, design, and ship new features. Perform unit and integration testing to ensure software quality. Monitor application performance and troubleshoot issues as they arise. Participate in code reviews to maintain code quality and standards."
Sr. Software Engineer,"We are looking for a skilled Sr. Software Engineer with 1 to 6 years of experience in ELK development to join our team at IDESLABS PRIVATE LIMITED,located in [location to be specified]"
Java Backend Developer,We are looking for a skilled Java Backend Developer with 3 to 7 years of experience Experience with Spring Boot framework and RESTful API development
Full-Stack Developer ( Node.js & React.js ),Redis and event-driven architecture experience (Kafka preferred) PostgreSQL or other relational database experience Highly Recommended: React.js frontend experience Hands-on experience with CRM platforms Experience with CCaaS or VoIP solutions
"Software Engineer, Specialist ( SRE, AWS, Terraform )","AWS platform. . Design and maintain monitoring solutions for infrastructure,application performance,and user experience Experience with AWS cloud platform and IaC tools Must have the following Certifications: . AWS Cloud Practitioner AWS Solutions Architect Associate OR"
Java Developer,"Required Skills Java,Spring Boot,JPA,Mongo DB,Development,GIT,Azure,Apache Good to Have : Dev_ops,Azure,Apache NiFi,Camunda ( any BPM tool). Senior Developer Java . 5 to 8 Yrs. Mandatory: Java Version 8 to 11,Spring Boot,JPA,Mongo DB,Database concepts,Microservice development knowledge,GIT. Good to Have : Dev_ops,Azure,Apache NiFi,Camunda (any BPM tool)"
Urgent Jon || Hiring Python Developer || Pune,"Position Overview: As a Python Developer with FastAPI experience,you will play a key role in designing,implementing,and maintaining robust and scalable backend solutions Bachelors degree in computer science,Engineering,or a related field (or equivalent work experience). Required Pune to Pune only No relocation plzzz Requirements: . Proficiency in Python programming language"
"Urgent || Job requirement on Java Developer || Pune, Chennai","Need Java Developers with Java,Spring Boot and Microservice experience Mandatory. Need locals Only"
Urgent Job || DevOps Engineer,"A bachelors / masters degree in computer science,information technology,or a related field from a college of repute This is Angel from TalentI have an urgent requirement on DevOps Engineer with Udeploy,Lightspeed experience from Pune Locals Strong experience in DevOps tools and technologies,such as Jenkins,Docker,Maven,Lightspeed,Kubernetes,and Udeploy"
Python Software Developer,"Good college computer engineering degree non-negotiable. Target immediate joiners only 4-6 years hands-on development experience including writing and testing code,debugging programs and integrating applications with third-party web services Applies critical thinking and good problem-solver Banking,retail or tech company experience will be a huge plus"
Urgent Job || DevOps Engineer,"9+ yrs of exp in collaborating with development and operations teams to identify and address bottlenecks in the software development lifecycle. Designing and implementing automation tools and frameworks for continuous integration, delivery, and deployment. Strong experience in DevOps tools and technologies, such as Jenkins, Docker, Maven, Lightspeed, Kubernetes, and Udeploy. Monitoring and managing infrastructure, ensuring optimal performance, security, and scalability. Troubleshooting and resolving issues related to application development, deployment, and operations. Implementing and maintaining version control systems, configuration management tools, and other DevOps-related technologies. Ensuring compliance with industry best practices and organizational policies. Continuously improving processes and tools to enhance efficiency and productivity. A bachelor's/masters degree in computer science, information technology, or a related field from a college of repute. Proven experience in software development, IT operations, or a similar role. Good to have experience with cloud platforms, such as AWS, Azure, or Google Cloud. Strong problem-solving skills and the ability to work under pressure. Excellent communication and collaboration skills."
Azure Devops Engineer,Preferred candidate profile . Technical Skills and Experience
Urgent Job || Full Stack Java Developer,"Solid 9+ Yrs. of experience in Analysis, Design, Development, Testing, and Implementation (all phases of software development life cycle - SDLC) Build front-end elements of the application by teaming up with other developers and UI designers. Develop back-end modules by creating databases and writing effective APIs. Write unit tests to discover bugs in code and maintain excellent code quality. Test the entire application manually for errors and bugs. Experience of technologies like Spring boot, Angular, JAVA and MongoDB. Enhance the existing application for new features and other upgrades. Contribute to writing the technical application documentation. Follow the best practices in development and ensure the developed software is secure. Stay updated about the latest developments and trends in the software engineering industry. Experience with Agile/Scrum methodology. Masters degree in computer science or related fields from a reputed college. Excellent problem-solving and analytical skills. Should be a team player. Good time management skills."
Full Stack Developer( Java ),"Minimum : html,css,React.js,bootstrap,Java,Springboot,DB- SQL server or mysql,APIJWT,OAuth flows,jmeter/ jest/ mocha"
Senior Software Engineer - Dotnet,"Mandatory Skills: C#, .NET Framework Angular MVC, SSIS, SQL Server 2016. Visual Studio 2017 for SSIS, VS 2019 for web application, IBM MQ"
Senior Software Engineer - DotNet,"Are you a skilled Senior Software Engineer who is proficient in C#, .NET Framework, MVC, SSIS, SQL Server 2016, Visual Studio 2017 for SSIS, VS 2019 for web applications, and IBM MQ? If so, we have an exciting opportunity for you to join our team. Job Responsibilities: - Design, develop, and maintain software applications using C#, .NET Framework, and MVC. - Create and implement ETL processes using SSIS on SQL Server 2016. - Develop web applications using Visual Studio 2017 and VS 2019. - Work with IBM MQ for message queuing. - Collaborate with cross-functional teams to ensure successful project delivery. - Troubleshoot and debug issues to optimize software performance. - Stay updated with the latest technologies and trends in software development. Requirements: - Bachelor's degree in Computer Science, Engineering, or related field. - Proven experience as a Senior Software Engineer or similar role. - Strong proficiency in C#, .NET Framework, MVC, SSIS, SQL Server 2016. - Hands-on experience with Visual Studio 2017, VS 2019, and IBM MQ. - Familiarity with Agile methodologies. - Excellent problem-solving skills. - Strong communication and teamwork abilities. - Ability to work independently and manage multiple priorities. If you meet the requirements and are passionate about software development, we encourage you to apply for this exciting Senior Software Engineer role. Join our team and be part of a dynamic and innovative work environment. Apply now!"
Python Developer Lead +Mongo DB,"Lead Python developer---Must--Python, Flask/Django, python OOPS Concept(inheritance, polymorphism)."
Java Full Stack Developer Mongo DB,"Sound Experience in MongoDB,must have dealt with data heavy applications Big data knowledge will be preferred. Take the lead on projects and initiatives involving new product and feature development,as well as quality initiatives related to automation and process improvement. Experience with MongoDB is mandate (in last 1-2 project)"
Java Full Stack Developer,"Java8, Spring boot, Microservices, Angular 12+, Oracle and Cloud • Application designing experience, Good in design patterns etc. • Hands on in Java technology stack Java, Spring boot, Microservices, Angular 12+ and Oracle • Knowledge on any Cloud"
